2025-11-21_20-17-04.814 | INFO     | PATH: D:\Report_Builder\reports\Contractor_Assigned 
2025-11-21_20-17-05.237 | INFO     | Script for Contractor_Assigned started 
2025-11-21_20-17-05.659 | INFO     | Running main.py 
2025-11-21 20:17:07.825 | SUCCESS  | SQLAlchemy engine created using schema: OPS$CNE
2025-11-21 20:17:07.825 | INFO     | Executing: D:\Report_Builder\reports\Contractor_Assigned\sql\CA_24Hour_Rescue.sql
2025-11-21 20:17:14.518 | SUCCESS  | Statement executed successfully via pd.read_sql, resulting in 35 rows.
2025-11-21 20:17:14.895 | SUCCESS  | SQLAlchemy engine disposed
2025-11-21 20:17:15.051 | SUCCESS  | SQLAlchemy engine created using schema: OPS$EA2
2025-11-21 20:17:15.051 | INFO     | Executing: D:\Report_Builder\reports\Contractor_Assigned\sql\CA_24Hour_Rescue.sql
2025-11-21 20:17:18.999 | SUCCESS  | Statement executed successfully via pd.read_sql, resulting in 93 rows.
2025-11-21 20:17:19.391 | SUCCESS  | SQLAlchemy engine disposed
2025-11-21 20:17:19.547 | SUCCESS  | SQLAlchemy engine created using schema: OPS$MAN
2025-11-21 20:17:19.547 | INFO     | Executing: D:\Report_Builder\reports\Contractor_Assigned\sql\CA_24Hour_Rescue.sql
2025-11-21 20:17:22.870 | SUCCESS  | Statement executed successfully via pd.read_sql, resulting in 18 rows.
2025-11-21 20:17:23.278 | SUCCESS  | SQLAlchemy engine disposed
2025-11-21 20:17:23.278 | INFO     | Exporting data to Excel file.
2025-11-21 20:17:23.592 | SUCCESS  | All DataFrames combined and exported to Excel: D:\Report_Builder\reports\Contractor_Assigned\data\processed\CA_24Hour_Rescue.xlsx on sheet: Sheet1
2025-11-21 20:17:23.733 | SUCCESS  | SQLAlchemy engine created using schema: OPS$CNE
2025-11-21 20:17:23.733 | INFO     | Executing: D:\Report_Builder\reports\Contractor_Assigned\sql\CA_Job_Type_Codes.sql
2025-11-21 20:17:25.803 | SUCCESS  | Statement executed successfully via pd.read_sql, resulting in 377 rows.
2025-11-21 20:17:26.210 | SUCCESS  | SQLAlchemy engine disposed
2025-11-21 20:17:26.367 | SUCCESS  | SQLAlchemy engine created using schema: OPS$EA2
2025-11-21 20:17:26.367 | INFO     | Executing: D:\Report_Builder\reports\Contractor_Assigned\sql\CA_Job_Type_Codes.sql
2025-11-21 20:17:27.965 | SUCCESS  | Statement executed successfully via pd.read_sql, resulting in 337 rows.
2025-11-21 20:17:28.389 | SUCCESS  | SQLAlchemy engine disposed
2025-11-21 20:17:28.530 | SUCCESS  | SQLAlchemy engine created using schema: OPS$MAN
2025-11-21 20:17:28.530 | INFO     | Executing: D:\Report_Builder\reports\Contractor_Assigned\sql\CA_Job_Type_Codes.sql
2025-11-21 20:17:29.941 | SUCCESS  | Statement executed successfully via pd.read_sql, resulting in 336 rows.
2025-11-21 20:17:30.285 | SUCCESS  | SQLAlchemy engine disposed
