2025-11-21_21-37-44.188 | INFO     | PATH: D:\Report_Builder\reports\Contractor_Assigned 
2025-11-21_21-37-44.626 | INFO     | Script for Contractor_Assigned started 
2025-11-21_21-37-45.048 | INFO     | Running main.py 
2025-11-21 21:37:47.226 | SUCCESS  | SQLAlchemy engine created using schema: OPS$CNE
2025-11-21 21:37:47.226 | INFO     | Executing: D:\Report_Builder\reports\Contractor_Assigned\sql\CA_24Hour_Rescue.sql
2025-11-21 21:37:49.246 | SUCCESS  | Statement executed successfully via pd.read_sql, resulting in 35 rows.
2025-11-21 21:37:49.559 | SUCCESS  | SQLAlchemy engine disposed
2025-11-21 21:37:49.732 | SUCCESS  | SQLAlchemy engine created using schema: OPS$EA2
2025-11-21 21:37:49.732 | INFO     | Executing: D:\Report_Builder\reports\Contractor_Assigned\sql\CA_24Hour_Rescue.sql
2025-11-21 21:37:51.269 | SUCCESS  | Statement executed successfully via pd.read_sql, resulting in 93 rows.
2025-11-21 21:37:51.660 | SUCCESS  | SQLAlchemy engine disposed
2025-11-21 21:37:51.786 | SUCCESS  | SQLAlchemy engine created using schema: OPS$MAN
2025-11-21 21:37:51.786 | INFO     | Executing: D:\Report_Builder\reports\Contractor_Assigned\sql\CA_24Hour_Rescue.sql
2025-11-21 21:37:53.148 | SUCCESS  | Statement executed successfully via pd.read_sql, resulting in 18 rows.
2025-11-21 21:37:53.479 | SUCCESS  | SQLAlchemy engine disposed
2025-11-21 21:37:53.479 | INFO     | Exporting data to Excel file.
2025-11-21 21:37:53.870 | SUCCESS  | All DataFrames combined and exported to Excel: D:\Report_Builder\reports\Contractor_Assigned\data\processed\CA_24Hour_Rescue.xlsx on sheet: Sheet1
2025-11-21 21:37:54.010 | SUCCESS  | SQLAlchemy engine created using schema: OPS$CNE
2025-11-21 21:37:54.010 | INFO     | Executing: D:\Report_Builder\reports\Contractor_Assigned\sql\CA_Job_Type_Codes.sql
2025-11-21 21:37:55.217 | SUCCESS  | Statement executed successfully via pd.read_sql, resulting in 377 rows.
2025-11-21 21:37:55.484 | SUCCESS  | SQLAlchemy engine disposed
2025-11-21 21:37:55.609 | SUCCESS  | SQLAlchemy engine created using schema: OPS$EA2
